CD_SETOR,CD_MUN,NM_MUN,AREA_KM2,count_total,count_tag_pois,count_name_pois,count_drone_named,sample_poi_names
420100005000031,4201000,Anita Garibaldi,42.738468328500005,0,0,0,0,
420100005000032,4201000,Anita Garibaldi,35.713000950007995,0,0,0,0,
420100005000033,4201000,Anita Garibaldi,0.086986964707859,0,0,0,0,
420100005000034,4201000,Anita Garibaldi,1.751903436665233,0,0,0,0,
420100005000035,4201000,Anita Garibaldi,0.324399442969344,0,0,0,0,
420100015000001,4201000,Anita Garibaldi,0.783840696614572,0,0,0,0,
420100015000002,4201000,Anita Garibaldi,37.54713858966501,0,0,0,0,
420100015000003,4201000,Anita Garibaldi,22.204524638722766,0,0,0,0,
420100015000004,4201000,Anita Garibaldi,23.495095490296226,0,0,0,0,
420100015000005,4201000,Anita Garibaldi,86.17125927248456,0,0,0,0,
420100015000006,4201000,Anita Garibaldi,64.12068762990164,0,0,0,0,
420110905000001,4201109,Anitápolis,0.794386162386193,0,0,0,0,
420110905000002,4201109,Anitápolis,0.467344658650518,0,0,0,0,
420110905000003,4201109,Anitápolis,0.082364601900059,0,0,0,0,
420110905000004,4201109,Anitápolis,93.50270677035859,0,0,0,0,
420110905000005,4201109,Anitápolis,49.0994819065246,0,0,0,0,
420110905000006,4201109,Anitápolis,34.8705855278535,0,0,0,0,
420110905000007,4201109,Anitápolis,68.34196055114846,0,0,0,0,
420110905000008,4201109,Anitápolis,88.21255402181842,0,0,0,0,
420110905000009,4201109,Anitápolis,90.51746025172098,0,0,0,0,
420110905000010,4201109,Anitápolis,114.747267757726,0,0,0,0,
420120805000003,4201208,Antônio Carlos,31.772200269986033,0,0,0,0,
