"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Variável - Área plantada ou destinada à colheita (Hectares)"
"Nível";"Cód.";"Brasil, Unidade da Federação e Município";"Ano x Produto das lavouras temporárias e permanentes"
"Nível";"Cód.";"Brasil, Unidade da Federação e Município";"2024"
"Nível";"Cód.";"Brasil, Unidade da Federação e Município";"Total";"Arroz (em casca)";"Maçã";"Milho (em grão)";"Soja (em grão)"
"MU";"1506187";"Rondon do Pará (PA)";"112139";"-";"-";"31000";"73500"
"MU";"1506195";"Rurópolis (PA)";"10501";"200";"-";"1750";"620"
"MU";"1506203";"Salinópolis (PA)";"827";"25";"-";"120";"-"
"MU";"1506302";"Salvaterra (PA)";"1740";"1100";"-";"-";"-"
"MU";"1506351";"Santa Bárbara do Pará (PA)";"1975";"25";"-";"30";"-"
"MU";"1506500";"Santa Izabel do Pará (PA)";"9043";"-";"-";"-";"-"
"MU";"1506559";"Santa Luzia do Pará (PA)";"2000";"-";"-";"350";"-"
"MU";"1506583";"Santa Maria das Barreiras (PA)";"178500";"650";"-";"30000";"112000"
"MU";"1506609";"Santa Maria do Pará (PA)";"7311";"-";"-";"700";"-"
"MU";"1506708";"Santana do Araguaia (PA)";"225990";"700";"-";"60000";"150000"
"MU";"1506807";"Santarém (PA)";"54411";"700";"-";"18500";"30000"
"MU";"1506906";"Santarém Novo (PA)";"1110";"-";"-";"400";"-"
"MU";"1507003";"Santo Antônio do Tauá (PA)";"4114";"-";"-";"60";"-"
"MU";"1507102";"São Caetano de Odivelas (PA)";"1896";"50";"-";"60";"-"
"MU";"1507151";"São Domingos do Araguaia (PA)";"3615";"-";"-";"900";"-"
"MU";"1507201";"São Domingos do Capim (PA)";"17500";"50";"-";"350";"-"
"MU";"1507300";"São Félix do Xingu (PA)";"33958";"120";"-";"10000";"15000"
"MU";"1507409";"São Francisco do Pará (PA)";"6172";"-";"-";"300";"-"
"MU";"1507458";"São Geraldo do Araguaia (PA)";"8955";"-";"-";"6500";"-"
"MU";"1507466";"São João da Ponta (PA)";"734";"12";"-";"22";"-"
"MU";"1507474";"São João de Pirabas (PA)";"492";"-";"-";"80";"-"
"MU";"1507508";"São João do Araguaia (PA)";"1405";"-";"-";"280";"-"
"MU";"1507607";"São Miguel do Guamá (PA)";"6953";"-";"-";"1000";"-"
"MU";"1507706";"São Sebastião da Boa Vista (PA)";"5070";"-";"-";"-";"-"
"MU";"1507755";"Sapucaia (PA)";"2061";"-";"-";"1641";"400"
"MU";"1507805";"Senador José Porfírio (PA)";"6286";"80";"-";"650";"-"
